Detection Date,Latitude,Longitude,Lab Status
1,46.204805,-119.769015,2
1,46.491849,-117.085127,0
60,47.372105,-122.46006299999999,2
91,47.8062,-122.1048,2
102,47.375451,-122.168378,2
103,47.626955,-122.539736,0
106,47.292402,-122.25123799999999,2
110,47.203856,-124.200461,0
111,46.833371,-120.066181,2
115,47.57816,-122.21238000000001,2
116,48.924115,-122.255068,2
121,47.59787,-122.62958,0
121,47.30505,-122.10754399999999,2
123,48.864727,-122.675513,2
132,47.279815,-122.29503400000002,2
133,47.554623,-122.098662,0
134,47.417355,-122.637451,2
135,47.930489,-119.018941,2
139,47.583232,-122.65388700000001,2
144,47.896877,-122.323582,2
148,47.766765,-122.55273500000001,0
151,48.316977,-121.35514199999999,2
152,47.351682000000004,-122.088907,2
152,47.40177,-122.32428999999999,2
152,47.62986,-120.68945,2
153,48.1496,-119.77131599999998,2
154,47.662921999999995,-117.093958,2
157,47.84329,-120.02318000000001,0
158,47.185779,-122.51243899999999,2
161,46.534437,-119.879898,2
163,46.207489,-119.76556799999999,2
164,48.118052,-123.46483700000002,2
166,47.319254,-119.55753899999999,2
166,47.593032,-119.369847,2
168,46.940812,-119.96397900000001,2
170,47.530211,-119.492792,2
172,47.527698,-122.260323,2
172,46.579221000000004,-119.00558799999999,0
173,47.444541,-120.27569299999999,2
173,47.858725,-119.1216,2
173,45.710586,-122.680722,2
173,46.417813,-117.033198,0
174,48.93600000000001,-122.74728999999999,2
175,47.221882,-119.99443000000001,0
177,46.605947,-120.427555,2
179,47.487496,-118.958142,2
181,48.50824,-122.23858,2
185,48.948233,-122.74805800000001,2
185,48.664456,-122.395955,2
185,48.006763,-122.462053,0
186,47.373461999999996,-120.141581,0
188,47.391627,-119.485153,2
188,47.541072,-120.28201499999999,2
189,46.612953000000005,-120.462557,2
189,48.550189,-117.318946,2
190,47.315424,-119.545603,0
190,47.73284,-122.17958999999999,2
190,45.710268,-120.696372,2
190,47.500026,-122.28513400000001,2
191,46.932082,-122.936608,2
194,46.605612,-120.784695,2
194,45.586842,-122.300349,0
194,47.241486,-122.52316499999999,2
194,46.984884,-120.531094,2
194,47.725219,-122.04440600000001,2
195,45.732149,-122.342257,2
195,46.815183000000005,-122.98770900000001,2
195,47.267176,-122.466823,2
195,48.752578,-122.62250900000001,2
197,46.596612,-120.446389,2
201,46.535196,-117.084754,0
203,48.984144,-122.77443799999999,2
204,47.763622999999995,-122.54114299999999,0
206,46.673713,-123.781953,2
207,46.894731,-122.63171899999999,2
208,48.721109000000006,-122.328668,2
208,47.368916999999996,-122.673823,2
208,46.457758,-119.02963000000001,2
208,48.10025,-119.786157,2
208,47.243563,-122.34056399999999,2
208,47.91635,-122.39081599999999,2
208,47.371637,-122.10636699999999,2
211,46.23542,-119.09467,2
211,47.345423,-122.082943,2
212,47.756278,-122.21683300000001,0
213,47.81214,-122.162168,2
