Detection Date,Latitude,Longitude,Notes,Lab Status
1,46.491849,-117.085127,"This is the cicada killer, either Sphecius grandis or Sphecius convallis.",0
1,46.204805,-119.769015,No picture-but I wanted you to know I saw one in Prosser last June. I looked it up then and it was an exact version of the pictures I found. My parents live in the country surrounded by orchards.,0
60,47.372105,-122.46006299999999,Observed on a few occasions what looked to be this giant hornet in my garden on Vashon island in Washington state.,0
91,47.8062,-122.1048,We were at flower world shopping for fruit trees and there was a hornet about three inches large up in the rafters of the far east building next to the fruit trees.  I did not take a photo as I don't usually carry phone with me but there were others ther,0
102,47.375451,-122.168378,"Had never seen it prior. Large. Big eyes. Think it might be the same. Seen last year 2019. Near Wilson Playfield, Covington/Kent area.",0
103,47.626955,-122.539736,I saw this over a year ago on bainbridge island. It was massive. I took a picture but forgot about it. Please let me know if this looks like an asian giant hornet.,0
106,47.292402,-122.25123799999999,It was the largest nastiest thing I've ever scene I new right a way it wasn't from around here it flue into my room through window walked around on my wall for a min I watched it from the my bed room door it was like the size of a bird it's been eating a,0
110,47.203856,-124.200461,"We are unsure this was an Asian Hornet, but it was certainly unlike anything we had seen before...or since. Here is a link to the original Facebook post. ( ",0
111,46.833371,-120.066181,"I didn’t take a picture, but I’m quite sure it was an Asian Hornet. It was quite large and had the same identifying markers as photos. It was only moving a little...on my deck. I brushed it off and put a rock on it.",0
115,47.57816,-122.21238000000001,"Last year I saw three of these hornets on Mercer Island. They were about two inches large, and had an orange tint. The date is an estimate. I believe I saw it sometime in the spring last year.",0
116,48.924115,-122.255068,I bee I saw looks exactly like the photos of Asian hornets I have seen. It was at least 3x bigger than any bee I have ever seen. 3-4 inches long maybe? I was hiking to the top of the Sumas Mountain DNR by the old cabin. I was quite close to the top of th,0
121,47.59787,-122.62958,East Bremerton Kitsap county,0
121,47.30505,-122.10754399999999,I saw this hornet last year around this time in my yard.,0
123,48.864727,-122.675513,Was by our pond and pulled some grass out of the groundat the edge of the water. I felt a burning on my calf which was only covered by boot socks. I figured i was stung which normally does not bother me much. But the pain became extreme and whatever was,0
132,47.279815,-122.29503400000002,I saw something very similar eating the sap on my cherry tree last spring. It was about 2” long with an orange head. It flew at me and I ran inside to tell my husband. I’m sorry I don’t have a photo.,0
133,47.554623,-122.098662,"I believe we may have had these in a ground nest by our house last summer. Orange face, large. Unfortunately I did not take phone, but can excavate in nest site.",0
134,47.417355,-122.637451,I had them in Kitsap County last year. There were everywhere in the area of burley and purdy. I thought they were normal wasps until i stumbled upon some of them coming out of the ground. They were orange not the normal yellow. I tried searching what the,0
135,47.930489,-119.018941,"I, without a doubt, saw this hornet on the shoreline of Banks Lake in Grand Coulee WA near the NORTH DAM side of the lake.",0
139,47.583232,-122.65388700000001,We have experienced what looks to be a huge hornet. Both time it sounded like a rock hitting our third story bedroom window 4 to 5 times before giving up and walking back and fourth across the screen before flying off.,0
144,47.896877,-122.323582,"I saw a hornet of this size nesting in ground of Harbor Point Office Park, Mukilteo, WA parking lot in the summer of 2019. Actually what i saw was more like a paper wasp, as shown on your website, but the size of it freaked out all of my colleagues. I di",0
148,47.766765,-122.55273500000001,"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you.",0
151,48.316977,-121.35514199999999,"about a year ago, Boulder Lk trailhead, Tenas Cr Rd off the Suiattle River.  I marveled at the head for a minute before it flew off.  I have a state cert as a Home Inspector, I looked closely at this.  I also believe I saw two Long Horn Beetles there a c",0
152,47.40177,-122.32428999999999,I had noticed several summer 2019 for a two month period..Haven't seen any this year so far.Must not survived winter..My assumption,0
152,47.62986,-120.68945,approximate date,0
152,47.351682000000004,-122.088907,Saw a few flying around my house at separate times. They were huge so I looked them up. . Meant to call last year but got distracted.,0
153,48.1496,-119.77131599999998,"Stung me. Chased me and stung me. Big bruise, pitted crater  like abscess. Took 10 days to heal. Hurt sooo bad! In ground nest I couldn't locate. But on my property near wild rose bushes. No photo sorry",0
154,47.662921999999995,-117.093958,"We had a few of these flying around our house last year. they were HUGE! Not sure exactly when. They were flying around our Hydrangias. I remember them because I had seemn them on TV. I didn't know they ""weren't here"" yet. I will send photos if I see the",0
157,47.84329,-120.02318000000001,"I know this was before the official siting, but I came across this picture from lat June in Lake Chelan.  It was really large which is what caught my attention.  Not sure if it is one, but thought I would let you be the judge.",0
158,47.185779,-122.51243899999999,"The date is a rough estimate. I did not have a phone near me. I was standing right next to our tall hedge, so it was almost eye level. The hornet was sitting on top of the hedge. It would have fit across the back of my hand and it was so thick. I stared",0
161,46.534437,-119.879898,"Took picture of large hornet June 29,2019 because I didn’t know what it was",0
163,46.207489,-119.76556799999999,"I have seen quite a few the last 2 Summers in Prosser, Wa!  I have killed quite a few in my backyard, as they seem to be attracted to it after I water!  These are easy to identify with their fluorescent orange color, size, & loud buzzing sound when they",0
164,48.118052,-123.46483700000002,This is my contact info from the prior submission of the sighting of a asian hornet nest last year in port angeles wa near Stevens middle school in alley between 12 and 13th on e st in the east end of the alley on the north side,0
166,47.593032,-119.369847,Not sure if it was the Asian giant hornet but it was larger than any hornet I have ever seen approximately 1.5 inches. Looked familiar to the pictures I have seen of the Asian giant.,0
166,47.319254,-119.55753899999999,I’ve seen 3 of these.,0
168,46.940812,-119.96397900000001, ,0
170,47.530211,-119.492792,Was driving by soap lake and got hit in the head by one.,0
172,46.579221000000004,-119.00558799999999,We found this guy eating our rhubarb plant last year. It was the biggest stinging insect I have ever seen. I looked it up and they said it was an Asian Hornet and it was harvesting my rhubarb leaves as nest building material. We took pictures so I could,0
172,47.527698,-122.260323,I noticed these in the ground beside our home last year.  I flooded the ground and beleived they were killed or driven off as I did not notice them since a few attempts at flooding.  They were coming out of a number of holes in the ground in an area abou,0
173,46.417813,-117.033198, ,0
173,47.444541,-120.27569299999999, ,0
173,45.710586,-122.680722,I have observed this insect more then once. Once last year in the Columbia gorge near Cape Horn and again in felida near the WSUV campus,0
173,47.858725,-119.1216, ,0
